timestamp,open,high,low,close,volume,trades,price_change_pct,volume_ma,volume_ratio,is_pump_dump
2024-09-04,0.5572,0.5648,0.5326,0.5579,272577067.0,553707,-0.02002459160372405,183333780.14285713,1.4867803783220028,0
2024-09-05,0.5579,0.5598,0.5399,0.5444,213816210.0,412058,-0.031144331731624786,184016003.0,1.1619435620498724,0
2024-09-06,0.5445,0.5473,0.5026,0.5211,382035412.0,892364,-0.08046585494970881,201615263.57142857,1.8948734596408763,0
2024-09-07,0.5211,0.5329,0.5197,0.5248,82924642.0,225912,-0.07311903920876017,203868040.7142857,0.4067564573116006,0
2024-09-08,0.5249,0.5316,0.5208,0.5295,67909459.0,217568,-0.03234649122807032,196256329.42857143,0.34602429994348805,0
2024-09-09,0.5295,0.5431,0.5269,0.5395,168358952.0,350686,-0.04967412365686108,195343317.85714287,0.8618618432759656,0
2024-09-10,0.5395,0.5428,0.5337,0.5408,135693250.0,266220,-0.02943287867910993,189044998.85714287,0.7177828073756154,0
2024-09-11,0.5407,0.5413,0.5231,0.5348,187554599.0,398094,-0.041405269761605856,176898932.0,1.0602359035157995,0
2024-09-12,0.5347,0.5884,0.5334,0.5626,380827353.0,756914,0.03343130051432763,200757666.7142857,1.896950483798887,0
2024-09-13,0.5625,0.5745,0.5556,0.5728,270151559.0,458343,0.09921320284014579,184774259.14285713,1.4620627367318189,0
2024-09-14,0.5727,0.5992,0.5704,0.5956,231500545.0,548100,0.13490853658536572,205999388.14285713,1.123792391264086,0
2024-09-15,0.5956,0.5958,0.5686,0.5706,126437096.0,426644,0.07762039660056663,214360479.14285713,0.5898339866824892,0
2024-09-16,0.5706,0.5916,0.5598,0.5866,247830927.0,541179,0.08730305838739572,225713618.42857143,1.0979883656352252,0
2024-09-17,0.5865,0.5934,0.5789,0.5839,173044465.0,457917,0.07969674556213024,231049506.2857143,0.7489497284881205,0
2024-09-18,0.5838,0.5858,0.562,0.5852,204818640.0,587717,0.09424083769633507,233515797.85714287,0.8771082808080556,0
2024-09-19,0.5852,0.5945,0.581,0.5868,222336927.0,527562,0.04301457518663354,210874308.42857143,1.05435758702351,0
2024-09-20,0.5868,0.593,0.5763,0.5851,217408757.0,520633,0.02147346368715075,203339622.42857143,1.069190325050253,0
2024-09-21,0.5851,0.6128,0.58,0.5976,144964801.0,423922,0.00335795836131636,190977373.2857143,0.7590679382898593,0
2024-09-22,0.5977,0.6053,0.5778,0.5871,120373196.0,494352,0.028916929547844195,190111101.85714287,0.6331728911363276,0
2024-09-23,0.5871,0.596,0.5787,0.5847,161038706.0,477852,-0.0032390044323218348,177712213.14285713,0.9061769202690991,0
2024-09-24,0.5848,0.5927,0.5814,0.5911,169233403.0,388897,0.012330878575098403,177167775.7142857,0.9552154860989999,0
2024-09-25,0.5912,0.5957,0.5824,0.5831,179932001.0,340116,-0.0035885167464116963,173612541.57142857,1.0363997863942995,0
2024-09-26,0.5831,0.5964,0.5739,0.5905,226481301.0,413399,0.006305385139740993,174204595.0,1.3000879856240302,0
2024-09-27,0.5905,0.5972,0.5824,0.5888,222819497.0,375010,0.006323705349512876,174977557.85714287,1.2734175726804735,0
2024-09-28,0.5889,0.6259,0.5856,0.6138,442520365.0,779248,0.027108433734939652,217485495.57142857,2.034712079705855,0
2024-09-29,0.6139,0.6649,0.6076,0.6412,442349596.0,893596,0.09214784534150922,263482124.14285713,1.6788599888475275,0
2024-09-30,0.6412,0.6548,0.6088,0.6114,396654376.0,841620,0.045664443304258784,297141505.5714286,1.3349006064878066,0
2024-10-01,0.6114,0.6342,0.5778,0.5967,579510147.0,1362100,0.00947386229064473,355752469.0,1.6289701337251998,0
2024-10-02,0.5968,0.6069,0.5267,0.5383,634074670.0,1107110,-0.07683073229291704,420629993.14285713,1.5074404591606272,0
2024-10-03,0.5383,0.5445,0.5068,0.5217,562879573.0,1086503,-0.11651143099068584,468686889.14285713,1.2009714503202855,0
2024-10-04,0.5218,0.539,0.51,0.534,341840613.0,508323,-0.09307065217391297,485689905.71428573,0.7038248252190211,0
